Screenshot,Publication Name,Authors,Published On,Link to download,Innovation,Objective,Sector,Region,Methodology,Abstract
Crowdteaching.PNG,Crowdteaching: Supporting Teaching as Designing in Crowdsourcing Communities,"Mimi Recker, Min Yuan, and Lei Ye",2014,http://www.irrodl.org/index.php/irrodl/article/view/1785/3000,"Citizen Engagement and Crowdsourcing, Expert Networking",Participation,Education,North America,"Quantitative Analysis
","The widespread availability of high-quality Web-based content offers new potential for supporting teachers as designers of curricula and classroom activities. When coupled with a participatory Web culture and infrastructure, teachers can share their creations as well as leverage from the best that their peers have to offer to support a collective intelligence or crowdsourcing community, which we dubcrowdteaching. We applied a collective intelligence framework to characterize crowdteaching in the context of a Web-based tool for teachers called the Instructional Architect (IA). The IA enables teachers to find, create, and share instructional activities (called IA projects) for their students using online learning resources. These IA projects can further be viewed, copied, or adapted by other IA users. This study examines the usage activities of two samples of teachers, and also analyzes the characteristics of a subset of their IA projects. Analyses of teacher activities suggest that they are engaging in crowdteaching processes. Teachers, on average, chose to share over half of their IA projects, and copied some directly from other IA projects. Thus, these teachers can be seen as both contributors to and consumers of crowdteaching processes. In addition, IA users preferred to view IA projects rather than to completely copy them. Finally, correlational results based on an analysis of the characteristics of IA projects suggest that several easily computed metrics (number of views, number of copies, and number of words in IA projects) can act as an indirect proxy of instructionally relevant indicators of the content of IA projects."
Citizen Science The Law.PNG,Citizen Science: The Law and Ethics of Public Access to Medical Big Data,Sharona Hoffman,2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2491054,Data Analysis,"Access, Participation",Healthcare,,Comparative Analysis,"Patient-related medical information is becoming increasingly available on the Internet, spurred by government open data policies and private sector data sharing initiatives. Websites such as HealthData.gov, GenBank, and PatientsLikeMe allow members of the public to access a wealth of health information. As the medical information terrain quickly changes, the legal system must not lag behind. This Article provides a base on which to build a coherent data policy. It canvasses emergent data troves and wrestles with their legal and ethical ramifications.

Publicly accessible medical data have the potential to yield numerous benefits, including scientific discoveries, cost savings, the development of patient support tools, healthcare quality improvement, greater government transparency, public education, and positive changes in healthcare policy. At the same time, the availability of electronic personal health information that can be mined by any Internet user raises concerns related to privacy, discrimination, erroneous research findings, and litigation. This Article analyzes the benefits and risks of health data sharing and proposes balanced legislative, regulatory, and policy modifications to guide data disclosure and use."
Business Models.PNG,"
Business Models for Open Innovation: Matching Heterogenous Open Innovation Strategies with Business Model Dimensions
","Tina  Saebi, Nicolai J. Foss ",9/9/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2493736,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",Economy,Europe,"Conceptual Framework
","Research on open innovation suggests that companies benefit differentially from adopting open innovation strategies; however, it is unclear why this is so. One possible explanation is that companies’ business models are not attuned to open strategies. Accordingly, we propose a contingency model of open business models by systematically linking open innovation strategies to core business model dimensions, notably the content, structure, governance of transactions. We further illustrate a continuum of open innovativeness, differentiating between four types of open business models. We contribute to the open innovation literature by specifying the conditions under which business models are conducive to the success of open innovation strategies."
The Decalogue.png,"The Decalogue of Policy Making 2.0: Results from Analysis of Case Studies 
on the Impact of ICT for Governance and Policy Modelling","Sotirios Koussouris, Fenareti Lampathaki, Gianluca Misuraca, Panagiotis Kokkinakos, andDimitrios Askounis",8/30/2014,http://link.springer.com/chapter/10.1007/978-3-319-08081-9_10,"
Citizen Engagement and Crowdsourcing, Civic Technology","Effectiveness, Participation",,North America,"Case Analysis, Comparative Analysis","Despite the availability of a myriad of Information and Communication Technologies (ICT) based tools and methodologies for supporting governance and the formulation of policies, including modelling expected impacts, these have proved to be unable to cope with the dire challenges of the contemporary society. In this chapter we present the results of the analysis of a set of promising cases researched in order to understand the possible impact of what we define ‘Policy Making 2.0’, which refers to ‘a set of methodologies and technological solutions aimed at enabling better, timely and participative policy-making’. Based on the analysis of these cases we suggest a bouquet of (mostly ICT-related) practical and research recommendations that are relevant to researchers, practitioners and policy makers in order to guide the introduction and implementation of Policy Making 2.0 initiatives. We argue that this ‘decalogue’ of Policy Making 2.0 could be an operational checklist for future research and policy to further explore the potential of ICT tools for governance and policy modelling, so to make next generation policy making more ‘intelligent’ and hopefully able to solve or anticipate the societal challenges we are (and will be) confronted today and in the future."
Using Crowds.PNG,Using Crowds for Evaluation Tasks: Validity by Numbers vs. Validity by Expertise,Christoph Hienerth and Frederik Riar,8/11/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2478620,"Citizen Engagement and Crowdsourcing, Expert Networking",Effectiveness,,,"Conceptual Framework
","Developing and commercializing novel ideas is central to innovation processes. As the outcome of such ideas cannot fully be foreseen, the evaluation of them is crucial. With the rise of the internet and ICT, more and new kinds of evaluations are done by crowds. This raises the question whether individuals in crowds possess necessary capabilities to evaluate and whether their outcomes are valid. As empirical insights are not yet available, this paper deals with the examination of evaluation processes and general evaluation components, the discussion of underlying characteristics and mechanism of these components affecting evaluation outcomes (i.e. evaluation validity). We further investigate differences between firm- and crowd-based evaluation using different cases of applications, and develop a theoretical framework towards evaluation validity, i.e. validity by numbers vs. the validity by expertise. The identified factors that influence the validity of evaluations are: (1) the number of evaluation tasks, (2) complexity, (3) expertise, (4) costs, and (5) time to outcome. For each of these factors, hypotheses are developed based on theoretical arguments. We conclude with implications, proposing a model of evaluation validity."
Assessing Social Value.PNG,Assessing Social Value in Open Data Initiatives: A Framework,"Gianluigi Viscusi, Marco Castelli and Carlo Batini",8/19/2014,http://www.mdpi.com/1999-5903/6/3/498/htm,Open Data,"Access, Effectiveness",,Europe,Conceptual Framework,"Open data initiatives are characterized, in several countries, by a great extension of the number of data sets made available for access by public administrations, constituencies, businesses and other actors, such as journalists, international institutions and academics, to mention a few. However, most of the open data sets rely on selection criteria, based on a technology-driven perspective, rather than a focus on the potential public and social value of data to be published. Several experiences and reports confirm this issue, such as those of the Open Data Census. However, there are also relevant best practices. The goal of this paper is to investigate the different dimensions of a framework suitable to support public administrations, as well as constituencies, in assessing and benchmarking the social value of open data initiatives. The framework is tested on three initiatives, referring to three different countries, Italy, the United Kingdom and Tunisia. The countries have been selected to provide a focus on European and Mediterranean countries, considering also the difference in legal frameworks (civic law vs. common law countries)."
Big Data Google.PNG,Big Data: Google Searches Predict Unemployment in Finland,Joonas Tuhkuri,8/14/2014,https://ideas.repec.org/p/rif/report/31.html,Data Analysis,Effectiveness,Economy,Europe,Quantitative Analysis,"There are over 3 billion searches globally on Google every day. This report examines whether Google search queries can be used to predict the present and the near future unemployment rate in Finland. Predicting the present and the near future is of interest, as the official records of the state of the economy are published with a delay. To assess the information contained in Google search queries, the report compares a simple predictive model of unemployment to a model that contains a variable, Google Index, formed from Google data. In addition, cross-correlation analysis and Granger-causality tests are performed. Compared to a simple benchmark, Google search queries improve the prediction of the present by 10 % measured by mean absolute error. Moreover, predictions using search terms perform 39 % better over the benchmark for near future unemployment 3 months ahead. Google search queries also tend to improve the prediction accuracy around turning points. The results suggest that Google searches contain useful information of the present and the near future unemployment rate in Finland."
Beyond Just Politics.PNG,Beyond just politics: A systematic literature review of online participation,"Christoph Lutz, Christian Pieter Hoffmann, and Miriam Meckel",7/7/2014,http://www.firstmonday.dk/ojs/index.php/fm/article/view/5260/4094,Civic Technology,Participation,,Europe,Comparative Analysis,"This paper presents a systematic literature review of the current state–of–research on online participation. The review draws on four databases and is guided by the application of six topical search terms. The analysis strives to differentiate distinct forms of online participation and to identify salient discourses within each research field. We find that research on online participation is highly segregated into specific sub–discourses that reflect disciplinary boundaries. Research on online political participation and civic engagement is identified as the most prominent and extensive research field. Yet research on other forms of participation, such as cultural, business, education and health participation, provides distinct perspectives and valuable insights. We outline both field–specific and common findings and derive propositions for future research."
Smart Cities Moving.PNG,Smart cities: moving beyond urban cybernetics to tackle wicked problems,Robert Goodspeed,2/13/2015,http://cjres.oxfordjournals.org/content/8/1/79,"Citizen Engagement and Crowdsourcing, Data Analysis",Effectiveness,,South America,"Case Analysis, Conceptual Framework","This article makes three related arguments. First, that although many definitions of the smart city have been proposed, corporate promoters say a smart city uses information technology to pursue efficient systems through real-time monitoring and control. Second, this definition is not new and equivalent to the idea of urban cybernetics debated in the 1970s. Third, drawing on a discussion of Rio de Janeiro’s Operations Center, I argue that viewing urban problems as wicked problems allows for more fundamental solutions than urban cybernetics, but requires local innovation and stakeholder participation. Therefore the last section describes institutions for municipal innovation and IT-enabled collaborative planning."
Opening Health Data.PNG,Opening Health Data: What Do Researchers Want? Early Experiences With New York’s Open Health Data Platform.,"Erika G. Martin, Natalie Helbig, and Guthrie S. Birkhead",8/7/2014,http://journals.lww.com/jphmp/Abstract/publishahead/Opening_Health_Data___What_Do_Researchers_Want_.99816.aspx,Open Data,Participation,Healthcare,North America,"Survey
","Context: Governments are rapidly developing open data platforms to improve transparency and make information more accessible. New York is a leader, with currently the only state platform devoted to health. Although these platforms could build public health departments' capabilities to serve more researchers, agencies have little guidance on releasing meaningful and usable data.

Objective: Structured focus groups with researchers and practitioners collected stakeholder feedback on potential uses of open health data and New York's open data strategy.

Setting and Design: Researchers and practitioners attended a 1-day November 2013 workshop on New York State's open health data resources. After learning about the state's open data platform and vision for open health data, participants were organized into 7 focus groups to discuss the essential elements of open data sets, practical challenges to obtaining and using health data, and potential uses of open data.

Participants: Participants included 33 quantitative health researchers from State University of New York campuses and private partners and 10 practitioners from the New York State Department of Health.

Results: There was low awareness of open data, with 67% of researchers reporting never using open data portals prior to the workshop. Participants were interested in data sets that were geocoded, longitudinal, or aggregated to small area granularity and capabilities to link multiple data sets. Multiple environmental conditions and barriers hinder their capacity to use health data for research. Although open data platforms cannot address all barriers, they provide multiple opportunities for public health research and practice, and participants were overall positive about the state's efforts to release open data.

Conclusions: Open data are not ideal for some researchers because they do not contain individually identifiable data, indicating a need for tiered data release strategies. However, they do provide important new opportunities to facilitate research and foster collaborations among agencies, researchers, and practitioners."
Designing an Online.PNG,Designing an Online Civic Engagement Platform: Balancing “More” vs. “Better” Participation in Complex Public Policymaking,"Cynthia R. Farina, Dmitry Epstein, Josiah Heidt, and Mary Newhart",2014,http://www.igi-global.com/article/designing-an-online-civic-engagement-platform/111189,"Citizen Engagement and Crowdsourcing, Civic Technology","Legitimacy, Participation",,North America,Design Science,"A new form of online citizen participation in government decisionmaking has arisen in the United States (U.S.) under the Obama Administration. “Civic Participation 2.0” attempts to use Web 2.0 information and communication technologies to enable wider civic participation in government policymaking, based on three pillars of open government: transparency, participation, and collaboration. Thus far, the Administration has modeled Civic Participation 2.0 almost exclusively on a universalist/populist Web 2.0 philosophy of participation. In this model, content is created by users, who are enabled to shape the discussion and assess the value of contributions with little information or guidance from government decisionmakers. The authors suggest that this model often produces “participation” unsatisfactory to both government and citizens. The authors propose instead a model of Civic Participation 2.0 rooted in the theory and practice of democratic deliberation. In this model, the goal of civic participation is to reveal the conclusions people reach when they are informed about the issues and have the opportunity and motivation seriously to discuss them. Accordingly, the task of civic participation design is to provide the factual and policy information and the kinds of participation mechanisms that support and encourage this sort of participatory output. Based on the authors' experience with Regulation Room, an experimental online platform for broadening effective civic participation in rulemaking (the process federal agencies use to make new regulations), the authors offer specific suggestions for how designers can strike the balance between ease of engagement and quality of engagement – and so bring new voices into public policymaking processes through participatory outputs that government decisionmakers will value."
Towards Timely.png,Towards Timely Public Health Decisions to Tackle Seasonal Diseases With Open Government Data,Vandana Srivastava and Biplav Srivastava,6/18/2014,http://www.aaai.org/ocs/index.php/WS/AAAIW14/paper/view/8728,Open Data,Effectiveness,Healthcare,,Quantitative Analysis,"Improving public health is a major responsibility of any government, and is of major interest to citizens and scientific communities around the world. Here, one sees two extremes. On one hand, tremendous progress has been made in recent years in the understanding of causes, spread and remedies of common and regularly occurring diseases like Dengue, Malaria and Japanese Encephalistis (JE). On the other hand, public agencies treat these diseases in an ad hoc manner without learning from the experiences of previous years. Specifically, they would get alerted once reported cases have already arisen substantially in the known disease season, reactively initiate a few actions and then document the disease impact (cases, deaths) for that period, only to forget this learning in the next season. However, they miss the opportunity to reduce preventable deaths and sickness, and their corresponding economic impact, which scientific progress could have enabled. The gap is universal but very prominent in developing countries like India.

 

In this paper, we show that if public agencies provide historical disease impact information openly, it can be analyzed with statistical and machine learning techniques, correlated with best emerging practices in disease control, and simulated in a setting to optimize social benefits to provide timely guidance for new disease seasons and regions. We illustrate using open data for mosquito-borne communicable diseases; published results in public health on efficacy of Dengue control methods and apply it on a simulated typical city for maximal benefits with available resources. The exercise helps us further suggest strategies for new regions that may be anywhere in the world, how data could be better recorded by city agencies and what prevention methods should medical community focus on for wider impact."
A Brief Survey.png,Brief survey of crowdsourcing for data mining,"Guo Xintong, Wang Hongzhi, Yangqiu Song, and Gao Hong",12/1/2014,http://www.sciencedirect.com/science/article/pii/S0957417414003984,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation
",,,Comparative Analysis,"Crowdsourcing allows large-scale and flexible invocation of human input for data gathering and analysis, which introduces a new paradigm of data mining process. Traditional data mining methods often require the experts in analytic domains to annotate the data. However, it is expensive and usually takes a long time. Crowdsourcing enables the use of heterogeneous background knowledge from volunteers and distributes the annotation process to small portions of efforts from different contributions. This paper reviews the state-of-the-arts on the crowdsourcing for data mining in recent years. We first review the challenges and opportunities of data mining tasks using crowdsourcing, and summarize the framework of them. Then we highlight several exemplar works in each component of the framework, including question designing, data mining and quality control. Finally, we conclude the limitation of crowdsourcing for data mining and suggest related areas for future research."
Social Networking Sites.PNG,Social Network Sites as a Mode to Collect Health Data: A Systematic Review,"Alshaikh F, Ramzan F, Rawaf S, Majeed A",2014,http://www.jmir.org/2014/7/e171/,"Citizen Engagement and Crowdsourcing, Data Analysis","Effectiveness, Participation","Healthcare
",Europe,Comparative Analysis,"Background: To date, health research literature has focused on social network sites (SNS) either as tools to deliver health care, to study the effect of these networks on behavior, or to analyze Web health content. Less is known about the effectiveness of these sites as a method for collecting data for health research and the means to use such powerful tools in health research.
Objective: The objective of this study was to systematically review the available literature and explore the use of SNS as a mode of collecting data for health research. The review aims to answer four questions: Does health research employ SNS as method for collecting data? Is data quality affected by the mode of data collection? What types of participants were reached by SNS? What are the strengths and limitations of SNS?
Methods: The literature was reviewed systematically in March 2013 by searching the databases MEDLINE, Embase, and PsycINFO, using the Ovid and PubMed interface from 1996 to the third week of March 2013. The search results were examined by 2 reviewers, and exclusion, inclusion, and quality assessment were carried out based on a pre-set protocol.
Results: The inclusion criteria were met by 10 studies and results were analyzed descriptively to answer the review questions. There were four main results. (1) SNS have been used as a data collection tool by health researchers; all but 1 of the included studies were cross-sectional and quantitative. (2) Data quality indicators that were reported include response rate, cost, timeliness, missing data/completion rate, and validity. However, comparison was carried out only for response rate and cost as it was unclear how other reported indicators were measured. (3) The most targeted population were females and younger people. (4) All studies stated that SNS is an effective recruitment method but that it may introduce a sampling bias.
Conclusions: SNS has a role in health research, but we need to ascertain how to use it effectively without affecting the quality of research. The field of SNS is growing rapidly, and it is necessary to take advantage of the strengths of this tool and to avoid its limitations by effective research design. This review provides an important insight for scholars who plan to conduct research using SNS."
Crowdsourcing Parking.PNG,Crowdsourcing Parking Lot Occupancy using a Mobile Phone Application,"Erfan Davami, and Gita Sukthankar",6/16/2014,http://www.ase360.org/handle/123456789/107,"Citizen Engagement and Crowdsourcing, Civic Technology",Effectiveness,Transportation,North America,"Case Analysis, Quantitative Analysis","• Participatory sensing is a specialized form of crowdsourcing for mobile devices in which the users act as sensors to report on local environmental conditions. • This poster describes the process of prototyping a mobile phone crowdsourcing app for monitoring parking availability on a large university campus. • We present a case study of how an agent-based urban model can be used to perform a sensitivity analysis of the comparative susceptibility of different data fusion paradigms to potentially troublesome user behaviors: 1. Poor user enrollment, 2. Infrequent usage, 3. A preponderance of untrustworthy users."
Smart Cities From Scratch.PNG,Smart cities from scratch? a socio-technical perspective,Luís Carvalho,2/13/2015,http://cjres.oxfordjournals.org/content/8/1/43,Data Analysis,Effectiveness,,Europe,Case Analysis,"This paper argues that contemporary smart city visions based on ITs (information and tele- communication technologies) configure complex socio-technical challenges that can benefit from strategic niche management to foster two key processes: technological learning and societal embedding. Moreover, it studies the extent to which those processes started to unfold in two paradigmatic cases of smart city pilots ‘from scratch’: Songdo (South Korea) and PlanIT Valley (Portugal). The rationale and potentials of the two pilots as arenas for socio-technical experimentation and global niche formation are analysed, as well as the tensions and bottlenecks involved in nurturing socially rich innovation ecosystems and in maintaining social and political support over time."
Big Data from.PNG,Big Data from the bottom up,"
Nick Couldry and Alison Powell",2014,http://bds.sagepub.com/content/1/2/2053951714539277.full,Data Analysis,Effectiveness,,North America,Comparative Analysis,"This short article argues that an adequate response to the implications for governance raised by ‘Big Data’ requires much more attention to agency and reflexivity than theories of ‘algorithmic power’ have so far allowed. It develops this through two contrasting examples: the sociological study of social actors used of analytics to meet their own social ends (for example, by community organisations) and the study of actors’ attempts to build an economy of information more open to civic intervention than the existing one (for example, in the environmental sphere). The article concludes with a consideration of the broader norms that might contextualise these empirical studies, and proposes that they can be understood in terms of the notion of voice, although the practical implementation of voice as a norm means that voice must sometimes be considered via the notion of transparency."
Privacy and Open Government.PNG,Privacy and Open Government,Teresa Scassa,6/18/2014,www.mdpi.com/1999-5903/6/2/397/htm,Open Data,Legitimacy,,North America,Conceptual Framework,"The public-oriented goals of the open government movement promise increased transparency and accountability of governments, enhanced citizen engagement and participation, improved service delivery, economic development and the stimulation of innovation. In part, these goals are to be achieved by making more and more government information public in reusable formats and under open licences. This paper identifies three broad privacy challenges raised by open government. The first is how to balance privacy with transparency and accountability in the context of “public” personal information. The second challenge flows from the disruption of traditional approaches to privacy based on a collapse of the distinctions between public and private sector actors. The third challenge is that of the potential for open government data—even if anonymized—to contribute to the big data environment in which citizens and their activities are increasingly monitored and profiled."
Opening Public Transit.PNG,Opening Public Transit Data in Germany,Stefan Kaufmann,2014,http://dbis.eprints.uni-ulm.de/1054/1/Kaufmann2014.pdf,Open Data,"Access, Legitimacy",Transportation,Europe,Survey,"Open data has been recognized as a valuable resource, and public institutions have taken to publishing their data under open licenses, also in Germany. However, German public transit agencies are still reluctant to publish their schedules as open data. Also, two widely used data exchange formats used in German transit planning are proprietary, with no documentation publicly available. Through this work, one of the proprietary formats was reverse-engineered, and a transformation process into the open GTFS schedule format was developed. This process allowed a partnering transit operator to publish their schedule as open data. Also, through a survey taken with German transit authorities and operators, the prevalence of transit data exchange formats, and reservations concerning open transit data were evaluated. The survey brought a series of issues to light which serve as obstacles for opening up transit data. Addressing the issues found through this work, and partnering with open-minded transit authorities to further develop transit data publishing processes can serve as a foundation for wider adoption of publishing open transit data in Germany."
Collaborative Approaches.png,Collaborative approaches to public sector innovation: A scoping study,"K Szkuta, R Pizzicannella, D Osimo",2014,http://www.sciencedirect.com/science/article/pii/S0308596114000615,"Citizen Engagement and Crowdsourcing, Civic Technology","Effectiveness, Participation",,Europe,Comparative Analysis,"In the last 15 years, European countries have invested considerable resources to provide e-government services. Despite of its increasing availability, its level of adoption has not been satisfying. On the other hand, over the last years, coinciding with the web 2.0 trend, the e-government services co-produced by citizens start to appear, often without the support, acknowledgement and even awareness of the government. This trend stems from a well-established tradition of offline co- production of public services, i.e. services provided by the voluntary sector, but brought to an unprecedented scale thanks to the advent of web 2.0. Still, the concept remains not well-defined and its impact is not yet well studied. The paper explores on a limited sets of cases what does it mean to collaboratively deliver online public services; what are the success factors based on the cases under study and what are the incentives for service providers (other than public administration), citizens as users and public administration. The authors propose an ostensive definition of the collaborative delivery of public services: collaborative public services are created and run by government, civil society or by private sector building on the re-use of government data or citizens data. Those services are focused on public goods delivery (e.g. health, education, public transport) and are meant to change the traditional government services by engaging in an open dialogue with public administration about the best way to deliver those services. The analysis of six case studies of innovative collaborative online public services suggests that the online collaborative public service delivery increases its quality with the users׳ growth contrary to the traditional offline service delivery. The study results indicate that the current developers interest lies in delivering complementary services to the government run services rather than substitutive services. The authors propose also the initial list of success factors, enabling conditions, and benefits for all main stakeholders (users, innovators and public administration)."
Conceptualizing Open Data.PNG,Conceptualizing Open Data ecosystems: A timeline analysis of Open Data development in the UK,"Maximilian Heimstädt, Fredric Saunderson, Tom Heath",2014,http://hdl.handle.net/10419/96627,Open Data,"Access, Effectiveness",,Europe,"Conceptual Framework, Quantitative Analysis, Survey","In this paper, we conceptualize Open Data ecosystems by analysing the major stakeholders in the UK. The conceptualization is based on a review of popular Open Data definitions and business ecosystem theories, which we applied to empirical data using a timeline analysis. Our work is informed by a combination of discourse analysis and in-depth interviews, undertaken during the summer of 2013. Drawing on the UK as a best practice example, we identify a set of structural business ecosystem properties: circular flow of resources, sustainability, demand that encourages supply, and dependence developing between suppliers, intermediaries, and users. However, significant gaps and shortcomings are found to remain. Most prominently, demand is not yet fully encouraging supply and actors have yet to experience fully mutual interdependence."
On the Barriers.png,On the barriers for local government releasing open data,Peter Conradie and Dr. Sunil Choenni,2014,http://www.sciencedirect.com/science/article/pii/S0740624X14000513,Open Data,"Access, Effectiveness",,,"Comparative Analysis, Survey","Due to expected benefits such as citizen participation and innovation, the release of Public Sector Information as open data is getting increased attention on various levels of government. However, currently data release by governments is still novel and there is little experience and knowledge thus far about its benefits, costs and barriers. This is compounded by a lack of understanding about how internal processes influence data release. Our aim in this paper is to get a better understanding of these processes and how they influence data release, i.e., to find determinants for the release of public sector information. For this purpose, we conducted workshops, interviews, questionnaires, desk research and practice based cases in the education program of our university, involving six local public sector organizations. We find that the way data is stored, the way data is obtained and the way data is used by a department are crucial indicators for open data release. We conclude with the lessons learned based on our research findings. These findings are: we should take a nuanced approach towards data release, avoid releasing data for its own sake, and take small incremental steps to explore data release."
innovation contests.PNG,Innovation Contests,David Pérez Castrillo and David Wettstein,3/16/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2425517,Citizen Engagement and Crowdsourcing,"Effectiveness
",,,Quantitative Analysis,"We study innovation contests with asymmetric information and identical contestants, where contestants’ efforts and innate abilities generate inventions of varying qualities. The designer offers a reward to the contestant achieving the highest quality and receives the revenue generated by the innovation. We characterize the equilibrium behavior, outcomes and payoffs for both nondiscriminatory and discriminatory (where the reward is contestant-dependent) contests. We derive conditions under which the designer obtains a larger payoff when using a discriminatory contest and describe settings where these conditions are satisfied."
Crowdsourcing Medical.PNG,Crowdsourcing medical expertise in near real time,"
Max H. Sims, Jeffrey Bigham, Henry Kautz, andMarc W. Halterman ",2014,http://onlinelibrary.wiley.com/doi/10.1002/jhm.2204/abstract,"Citizen Engagement and Crowdsourcing, Expert Networking","Effectiveness, Participation",Healthcare,North America,"Case Analysis
","Given the pace of discovery in medicine, accessing the literature to make informed decisions at the point of care has become increasingly difficult. Although the Internet creates unprecedented access to information, gaps in the medical literature and inefficient searches often leave healthcare providers' questions unanswered. Advances in social computation and human computer interactions offer a potential solution to this problem. We developed and piloted the mobile application DocCHIRP, which uses a system of point-to-multipoint push notifications designed to help providers problem solve by crowdsourcing from their peers. Over the 244-day pilot period, 85 registered users logged 1544 page views and sent 45 consult questions. The median initial first response from the crowd occurred within 19 minutes. Review of the transcripts revealed several dominant themes, including complex medical decision making and inquiries related to prescription medication use. Feedback from the post-trial survey identified potential hurdles related to medical crowdsourcing, including a reluctance to expose personal knowledge gaps and the potential risk for “distracted doctoring.” Users also suggested program modifications that could support future adoption, including changes to the mobile interface and mechanisms that could expand the crowd of participating healthcare providers.Journal of Hospital Medicine 2014;9:451–456. © 2014 Society of Hospital Medicine"
Benchmarking Open Government.png,Benchmarking open government: An open data perspective,"N Veljković, S Bogdanović-Dinić, and L Stoimenov",2014,http://www.sciencedirect.com/science/article/pii/S0740624X14000434,Open Data,Effectiveness,,,Conceptual Framework,"This paper presents a benchmark proposal for the Open Government and its application from the open data perspective using data available on the U.S. government's open data portal (data.gov). The benchmark is developed over the adopted Open Government conceptual model, which describes Open Government through data openness, transparency, participation and collaboration. Resulting in two measures, that is, one known as the e-government openness index (eGovOI) and the other Maturity, the benchmark indicates the progress of government over time, the efficiency of recognizing and implementing new concepts and the willingness of the government to recognize and embrace innovative ideas."
Quizz.PNG,Quizz: Targeted Crowdsourcing with a Billion (Potential) Users,PG. Ipeirotis and E Gabrilovich,2014,http://research.google.com/pubs/pub42022.html,"Citizen Engagement and Crowdsourcing, Expert Networking",Effectiveness,,,Case Analysis,"We describe Quizz, a gamified crowdsourcing system that simultaneously assesses the knowledge of users and acquires new knowledge from them. Quizz operates by asking users to complete short quizzes on specific topics; as a user answers the quiz questions, Quizz estimates the user's competence. To acquire new knowledge, Quizz also incorporates questions for which we do not have a known answer; the answers given by competent users provide useful signals for selecting the correct answers for these questions. Quizz actively tries to identify knowledgeable users on the Internet by running advertising campaigns, effectively leveraging the targeting capabilities of existing, publicly available, ad placement services. Quizz quantifies the contributions of the users using information theory and sends feedback to the advertising system about each user. The feedback allows the ad targeting mechanism to further optimize ad placement. Our experiments, which involve over ten thousand users, confirm that we can crowdsource knowledge curation for niche and specialized topics, as the advertising network can automatically identify users with the desired expertise and interest in the given topic. We present controlled experiments that examine the effect of various incentive mechanisms, highlighting the need for having short-term rewards as goals, which incentivize the users to contribute. Finally, our cost-quality analysis indicates that the cost of our approach is below that of hiring workers through paid-crowdsourcing platforms, while offering the additional advantage of giving access to billions of potential users all over the planet, and being able to reach users with specialized expertise that is not typically available through existing labor marketplaces."
Using Social Media.PNG,Using Social Media to Measure Labor Market Flows,"Dolan Antenucci, Michael Cafarella, Margaret C. Levenstein, Christopher Ré, and Matthew D. Shapiro",5/2/2014,http://www.nber.org/papers/w20010,Data Analysis,Effectiveness,Economy,,Quantitative Analysis,"Social media enable promising new approaches to measuring economic activity and analyzing economic behavior at high frequency and in real time using information independent from standard survey and administrative sources. This paper uses data from Twitter to create indexes of job loss, job search, and job posting. Signals are derived by counting job-related phrases in Tweets such as ""lost my job."" The social media indexes are constructed from the principal components of these signals. The University of Michigan Social Media Job Loss Index tracks initial claims for unemployment insurance at medium and high frequencies and predicts 15 to 20 percent of the variance of the prediction error of the consensus forecast for initial claims. The social media indexes provide real-time indicators of events such as Hurricane Sandy and the 2013 government shutdown. Comparing the job loss index with the search and posting indexes indicates that the Beveridge Curve has been shifting inward since 2011."
Exploration Extraction.PNG,"Exploration, Extraction and ‘Rawification’. The Shaping of Transparency in the Back Rooms of Open Data","Jerome Denis, and Samuel Goëta",2/28/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2403069,Open Data,"Access, Legitimacy",,Europe,Comparative Analysis,"With the advent of open data initiatives, raw data has been staged as a crucial element of government transparency. If the consequences of such data-driven transparency have already been discussed, we still don’t know much about its back rooms. What does it mean for an administration to open its data? Following information infrastructure studies, this communication aims to question the modes of existence of raw data in administrations. Drawing on an ethnography of open government data projects in several French administrations, it shows that data are not ready-at-hand resources. Indeed, three kinds of operations are conducted that progressively instantiate open data. The first one is exploration. Where are, and what are, the data within the institution are tough questions, the response to which entails organizational and technical inquiries. The second one is extraction. Data are encapsulated in databases and its release implies a sometimes complex disarticulation process. The third kind of operations is ‘rawification’. It consists in a series of tasks that transforms what used to be indexical professional data into raw data. To become opened, data are (re)formatted, cleaned, ungrounded. Though largely invisible, these operations foreground specific ‘frictions’ that emerge during the sociotechnical shaping of transparency, even before data publication and reuses."
